# file_version: 0.2.0
	A_A	A_T	A_C	A_G	A_-	T_A	T_T	T_C	T_G	T_-	C_A	C_T	C_C	C_G	C_-	G_A	G_T	G_C	G_G	G_-	-_A	-_T	-_C	-_G	-_-
-1	0	0	0	0	5385	0	0	0	0	4489	0	0	0	0	6789	0	0	0	0	7454	0	0	0	0	9216014
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0
2	47	3	3	4	0	4	48	4	3	0	1	4	64	4	0	11	2	7	62	0	492	536	488	488	0
3	557	21	42	54	0	20	538	64	40	0	34	70	665	51	0	62	46	63	732	0	1155	1223	911	964	0
4	2016	48	108	190	0	65	1826	148	91	0	138	183	2523	165	0	206	116	142	2560	0	1219	1290	1036	1002	0
5	4068	66	133	348	0	95	3702	269	144	0	220	325	5106	297	0	381	183	250	5061	0	1180	1330	1017	1062	0
6	5895	72	149	372	0	113	5603	329	171	0	207	416	7651	356	0	439	187	279	7670	0	1132	1126	976	1031	0
7	7532	74	142	376	0	83	6996	367	177	0	202	451	9465	298	0	469	198	261	9695	0	977	992	982	923	0
8	8523	68	163	374	0	83	7850	340	132	0	198	452	10846	331	0	505	192	284	10786	0	898	873	773	841	0
9	8345	63	123	283	0	53	7830	277	111	0	154	427	10615	274	0	413	154	252	10553	0	766	653	627	699	0
10	7665	31	109	237	0	58	7448	230	89	0	102	341	10243	234	0	355	116	189	10044	0	547	573	524	595	0
11	7263	34	92	187	0	45	6999	179	75	0	84	261	9641	153	0	298	86	187	9473	0	491	510	463	498	0
12	7193	29	64	152	0	37	6927	137	65	0	75	191	9500	135	0	234	67	130	9602	0	416	422	421	394	0
13	6926	15	50	139	0	24	6746	110	32	0	70	190	9123	106	0	186	51	90	9144	0	390	364	371	371	0
14	7060	23	38	83	0	23	6736	90	41	0	37	172	9358	100	0	155	41	103	9321	0	309	350	311	350	0
15	6881	16	42	78	0	23	6861	81	34	0	58	123	9233	67	0	149	34	66	9216	0	299	277	294	285	0
16	6992	11	28	68	0	20	6885	63	32	0	30	97	9514	63	0	83	32	47	9550	0	290	268	253	259	0
17	7057	9	22	71	0	10	7110	50	23	0	28	100	9413	68	0	93	32	59	9874	0	232	240	256	263	0
18	7302	3	14	45	0	9	7049	47	16	0	26	84	9649	50	0	78	15	37	10140	0	228	205	244	231	0
19	7436	7	24	35	0	10	7352	33	17	0	18	64	10281	44	0	58	16	34	10123	0	210	197	216	214	0
20	7739	5	16	26	0	14	7417	39	11	0	12	59	10390	31	0	66	17	23	10179	0	190	171	209	207	0
21	7863	5	6	32	0	2	7820	26	5	0	10	40	10541	38	0	43	15	22	10933	0	178	182	192	180	0
22	8336	5	12	17	0	8	8178	31	7	0	19	42	11223	18	0	47	10	19	11212	0	190	173	182	222	0
23	8697	0	9	15	0	5	8493	22	6	0	12	25	11596	29	0	40	13	12	11630	0	190	185	201	210	0
24	9024	2	5	18	0	3	8790	20	4	0	9	26	12267	14	0	27	6	10	12343	0	177	202	191	196	0
25	9539	2	4	15	0	3	9253	15	8	0	2	23	12415	16	0	23	8	13	13084	0	177	184	188	187	0
26	9938	3	9	12	0	1	9755	17	6	0	9	28	13082	11	0	28	4	8	13690	0	175	196	198	181	0
27	10373	4	2	6	0	2	10337	11	3	0	5	15	13859	11	0	17	4	9	14402	0	170	188	184	176	0
28	11118	3	5	11	0	1	10789	7	4	0	7	14	14737	10	0	20	1	12	15627	0	185	189	211	213	0
29	12047	1	1	5	0	1	11584	7	5	0	5	13	15685	8	0	16	4	5	16754	0	193	208	187	206	0
30	12790	0	1	8	0	1	12383	7	0	0	4	12	16757	9	0	12	0	6	17885	0	176	209	228	204	0
31	13885	1	0	7	0	2	13451	9	2	0	3	6	18100	5	0	4	2	6	19166	0	206	227	180	223	0
32	15290	0	1	1	0	0	14675	4	0	0	1	5	19509	1	0	5	2	2	20836	0	220	234	200	215	0
33	17028	0	2	2	0	2	15906	4	0	0	3	7	20910	6	0	5	6	4	22772	0	228	219	204	248	0
34	18644	0	3	6	0	0	17744	5	0	0	0	5	22706	1	0	5	2	0	25031	0	282	254	213	227	0
35	20223	0	0	5	0	0	19435	2	0	0	2	3	24524	2	0	6	0	2	26639	0	266	277	249	244	0
36	22236	0	1	1	0	1	20950	3	0	0	0	2	25818	1	0	1	0	2	28330	0	285	256	233	227	0
37	23575	0	0	0	0	0	22812	2	1	0	0	0	27225	3	0	6	0	2	30077	0	286	281	219	254	0
38	24424	0	0	1	0	0	23975	0	0	0	1	2	27603	1	0	2	1	2	30528	0	288	292	206	223	0
39	25426	0	0	2	0	0	25274	0	0	0	1	1	28316	0	0	0	0	2	31085	0	292	272	225	254	0
40	25444	0	1	0	0	0	25914	0	1	0	0	1	27976	0	0	1	0	0	30475	0	254	281	232	211	0
41	135963	0	0	0	0	0	146237	4	1	0	1	4	149816	2	0	1	1	0	156594	0	1329	1453	959	969	0
